HP_name;PlotID_2;PAG;Precision;Center_x_coordinate;Center_y_coordinate;Date;Year;Canton;Municipality;Altitude_original;Species_richness;SqFt_ID;F;R;N;L;T;K;Nr_cuts;Nr_cuts_before_record;Soil;Content_of_Ca;Bedrock;Light_cond;Water_balance;Inclination;Exposition;Fertil_y_n;Fertil_frequ;Fertil_type;Fertil_treatment;Land_use;Land_use_2;Grazing_animal;EUNIS_class;EUNIS_habitat name;Type_of_classification;Total_biomass;vegetation type;Class (Mucina et al. 2016);Order (Mucina et al. 2016)
HP_1;1;1;1057.687007;8.055274886;47.39761273;28.05.1886;1886;AG;Aarau;370;9;1;3.111111111;3.444444444;3.666666667;3.666666667;3.555555556;3;3;;fine sandy;3;gravel;;irrigated by the city stream;;;yes;;sewage water of the town;;irrigated meadow;meadow;;R22; Low and medium altitude hay meadow;1;101.314;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_2;2;1;1057.687007;8.055274886;47.39761273;28.05.1886;1886;AG;Aarau;370;13;2;3.166666667;3.230769231;3.583333333;3.461538462;3.545454545;2.833333333;3;;fine sandy;3;gravel;;irrigated by the city stream;;;yes;;sewage water of the town;;irrigated meadow;meadow;;R22; Low and medium altitude hay meadow;1;58.828;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_3;3;3;420.5182671;8.07635051;47.39257999;23.06.1886;1886;AG;Buchs;380;21;3;3.138888889;3.368421053;3.333333333;3.315789474;3.411764706;3.055555556;;;sandy loam;;alluvium;;irrigated;;;no;;;;irrigated meadow;meadow;;R22; Low and medium altitude hay meadow;1;56.046;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_4;4;3;420.5182671;8.07635051;47.39257999;23.06.1886;1886;AG;Buchs;380;18;4;2.676470588;3.166666667;3;3.5;3.34375;3.1875;;;sandy loam;;alluvium;;irrigated;;;no;;;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;27.906;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_5;5;5;576.1975385;8.209971637;47.54370922;19.06.1889;1889;AG;Villigen;515;26;5;2.34;3.4;2.48;3.807692308;3.45;3.409090909;;;loam;;Jura limestone;;;;SE;yes;;artificial fertiliser;1888 und 1889 mit 0.6kg wasserlöslicher P2O3 pro Are gedüngt, N und P2O5;meadow;meadow;;;;;40.525;;;
HP_6;6;5;576.1975385;8.209971637;47.54370922;19.06.1889;1889;AG;Villigen;515;26;6;2.375;3.36;2.44;3.961538462;3.380952381;3.434782609;;;loam;;Jura limestone;;;;SE;no;;;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;30.394;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_7;7;5;576.1975385;8.209971637;47.54370922;19.06.1889;1889;AG;Villigen;515;31;7;2.366666667;3.533333333;2.5;3.967741935;3.44;3.444444444;;;loam;;Jura limestone;;;;SE;yes;;artificial fertiliser;1888 und 1889 mit 1.07 kg Kali (KO) pro Are gedüngt, Kali;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;25.283;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_8;8;5;576.1975385;8.209971637;47.54370922;19.06.1889;1889;AG;Villigen;515;28;8;2.425925926;3.37037037;2.518518519;3.964285714;3.391304348;3.4;;;loam;;Jura limestone;;;;SE;yes;;artificial fertiliser;1888 und1889 mit 0.31 kg N (in Chili-Salpeter) pro Are gedüngt, Stickstoff;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;37.399;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_9;9;9;366.1575774;8.210186891;47.51769224;31.08.1889;1889;AG;Villigen;390;25;9;2.652173913;3.375;2.956521739;3.88;3.375;3.318181818;;;;;;;;;;yes;;P2O5, Potassium and Nitrogen;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;33.829;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_10;10;9;366.1575774;8.210186891;47.51769224;14.06.1889;1889;AG;Villigen;390;27;10;2.54;3.384615385;2.88;3.962962963;3.386363636;3.416666667;;;;;;;;;;yes;;N, Potassium, P2O5;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;35.375;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_11;11;9;366.1575774;8.210186891;47.51769224;31.08.1889;1889;AG;Villigen;390;25;11;2.47826087;3.47826087;2.739130435;3.916666667;3.35;3.363636364;;;;;;;;;;yes;;P2O5;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;42.094;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_12;12;9;366.1575774;8.210186891;47.51769224;14.06.1889;1889;AG;Villigen;390;27;12;2.5;3.346153846;2.807692308;3.925925926;3.227272727;3.333333333;;;;;;;;;;yes;;N and P2O5;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;40.037;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_13;13;9;366.1575774;8.210186891;47.51769224;31.08.1889;1889;AG;Villigen;390;33;13;2.387096774;3.516129032;2.677419355;3.9375;3.444444444;3.344827586;;;;;;;;;;yes;;P2O5;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;51.085;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_14;14;9;366.1575774;8.210186891;47.51769224;14.06.1889;1889;AG;Villigen;390;24;14;2.282608696;3.52173913;2.565217391;4;3.368421053;3.523809524;;;;;;;;;;yes;;P2O5;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;41.03;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_15;15;9;366.1575774;8.210186891;47.51769224;14.06.1890;1890;AG;Villigen;;26;15;2.58;3.423076923;2.88;3.846153846;3.413043478;3.4;;;;;;;;;;;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;64.406;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_16;16;9;366.1575774;8.210186891;47.51769224;31.08.1889;1889;AG;Villigen;390;24;16;2.630434783;3.391304348;2.869565217;3.916666667;3.421052632;3.380952381;;;;;;;;;;yes;;P2O5 and Potassium;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;45.236;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_17;17;9;366.1575774;8.210186891;47.51769224;14.06.1889;1889;AG;Villigen;390;29;17;2.462962963;3.392857143;2.740740741;3.931034483;3.304347826;3.44;;;;;;;;;;yes;;N and Potassium;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;29.744;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_18;18;9;366.1575774;8.210186891;47.51769224;31.08.1889;1889;AG;Villigen;390;31;18;2.483333333;3.433333333;2.8;3.967741935;3.384615385;3.392857143;;;;;;;;;;yes;;potassium;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;34.107;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_19;19;9;366.1575774;8.210186891;47.51769224;14.06.1889;1889;AG;Villigen;390;27;19;2.442307692;3.423076923;2.692307692;3.962962963;3.295454545;3.416666667;;;;;;;;;;yes;;potassium;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;35.571;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_20;20;9;366.1575774;8.210186891;47.51769224;14.06.1889;1889;AG;Villigen;390;25;20;2.375;3.5;2.583333333;4;3.3;3.545454545;;;;;;;;;;no;;;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;34.313;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_21;21;9;366.1575774;8.210186891;47.51769224;31.08.1889;1889;AG;Villigen;390;35;21;2.515151515;3.454545455;2.727272727;3.941176471;3.357142857;3.433333333;;;;;;;;;;no;;;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;31.333;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
