"PAG","Precision","Center_x_coordinate","Center_y_coordinate","Canton","Municipality","Elevation","Richness_method_corr_HP","Simpson_HP","PD_HP","FD_HP","FD_sla_HP","FD_seed_mass_HP","FD_height_HP","T_HP","N_HP","R_HP","F_HP","L_HP","MV_HP","EM_HP","Cover_Poaceae_HP","Cover_Forb_HP","Cover_Cyperaceae_Juncaceae_HP","sla_HP","height_log10_HP","seed_mass_log10_HP","CSR_Stress_tolerance_HP","CSR_Disturbance_tolerance_HP","CSR_Competitive_ability_HP","Therophyte_prop_HP","Geophyte_prop_HP","Hemicryptophyte_prop_HP","Herbaceous_chamaephyte_prop_HP","Richness_method_corr_RP","Simpson_RP","PD_RP","FD_RP","FD_sla_RP","FD_seed_mass_RP","FD_height_RP","T_RP","N_RP","R_RP","F_RP","L_RP","MV_RP","EM_RP","Cover_Poaceae_RP","Cover_Forb_RP","Cover_Cyperaceae_Juncaceae_RP","sla_RP","height_log10_RP","seed_mass_log10_RP","CSR_Stress_tolerance_RP","CSR_Disturbance_tolerance_RP","CSR_Competitive_ability_RP","Therophyte_prop_RP","Geophyte_prop_RP","Hemicryptophyte_prop_RP","Herbaceous_chamaephyte_prop_RP","Distance_RP_RP","Distance_HP_RP","dSpecies_richness","dSimpson","dPD","dFD","dFD_sla","dFD_seed_mass","dFD_heigh","dTemprature","dNutrient","dUrbanization","dMoving_tolerance","dReaction","dMoisture","dLight","dCover_forb","dCover_Poaceae","dCover_Cyp_Junc","dTherophyte","dGeophyte","dHemicryptophyte","dHerbaceous_chamaephyte","dsla","dplant_heigt","dseed_mass","dCSR_Competitive_ability","dCSR_Stress_tolerance","dCSR_Disturbance_tolerance"
3,420.5182671,8.07635051,47.39257999,"AG","Buchs",376.74,19.5,0.849439926,0.185225037,0.085387252,0.096491199,0.084824243,0.074846313,3.602672913,2.819429843,3.462274296,2.605541298,3.530054428,3.231565199,2.492250419,63.89844816,24.50552381,11.59602803,21.99003707,-0.374754724,0.210791834,0.333406945,0.17694761,0.489645445,0,9.337121225,88.85320378,1.809674997,9.4,0.651673841,0.180594483,0.045406849,0.043815938,0.034340286,0.058064322,3.591611569,3.833135414,3.043666695,3.009927858,3.706127138,3.8349101,2.991333063,61.2797311,38.60076603,0.119502868,26.0637617,-0.381338563,-0.034036614,0.301067559,0.333333333,0.365599108,0,0.059751434,96.60942625,3.330822318,0.722503825,0.849411962,-10.1,-0.197766085,-0.004630554,-0.039980403,-0.052675261,-0.050483957,-0.016781991,-0.011061343,1.013705572,0.499082644,0.603344901,-0.418607601,0.404386561,0.17607271,14.09524222,-2.618717053,-11.47652517,0,-9.277369791,7.75622247,1.521147321,4.073724633,-0.006583839,-0.244828448,-0.124046338,-0.032339386,0.156385723
5,576.1975385,8.209971637,47.54370922,"AG","Villigen",511.74,27.75,0.918661765,0.265606852,0.086020865,0.085644469,0.093959494,0.078458634,3.516780944,2.379579415,3.606154828,2.351818623,3.906072968,2.750302594,2.565569778,25.43787647,67.06641981,7.495703718,21.6777624,-0.646919393,0.110292811,0.40314552,0.202596667,0.394257813,7.661961867,2.572749825,86.94600956,2.819278745,10.1,0.631889258,0.150323639,0.049741265,0.047801006,0.054208195,0.047214594,3.639668232,2.903299886,3.531706042,2.4961282,3.830216063,3.218165955,2.624806271,71.54426363,28.45573637,0,21.54413903,-0.416669089,0.296529885,0.318414477,0.206583977,0.475001546,1.150811749,4.225592971,92.20170994,2.421885336,0.786427222,0.874917882,-17.65,-0.286772507,-0.115283212,-0.036279601,-0.037843463,-0.039751299,-0.03124404,0.122887288,0.523720472,0.059236492,0.467863361,-0.074448786,0.144309577,-0.075856904,-38.61068344,46.10638716,-7.495703718,-6.511150118,1.652843146,5.255700381,-0.397393409,-0.133623363,0.230250304,0.186237075,0.080743733,-0.084731043,0.00398731
24,532.0474111,8.370413775,47.43641295,"AG","Würenlos",436.74,24.28571429,0.932874981,0.253281322,0.087001976,0.088517438,0.087905512,0.084582977,3.270907521,3.159173525,3.378363156,2.737654372,3.773165492,3.391701174,2.874691551,33.27334215,66.72665785,0,24.60087622,-0.498447319,-0.063501174,0.340890652,0.291802123,0.367307225,4.609007265,0,88.11562186,7.275370876,9.185714286,0.663161677,0.186392364,0.049700809,0.061427067,0.046530986,0.041144373,3.233309413,3.261878687,3.140413585,2.913414415,3.619172218,3.842186759,2.727558179,55.40236169,44.15125624,0.446382073,22.38865357,-0.447642325,-0.290210074,0.33416117,0.327673045,0.338165785,0.932335279,0.103613522,94.91936877,4.044682425,0.817818936,0.912163433,-15.1,-0.269713304,-0.066888958,-0.037301167,-0.027090371,-0.041374526,-0.043438604,-0.037598107,0.102705162,-0.147133372,0.450485585,-0.237949571,0.175760043,-0.153993274,-22.57540161,22.12901954,0.446382073,-3.676671986,0.103613522,6.803746916,-3.230688452,-2.212222659,0.050804994,-0.226708899,-0.02914144,-0.006729482,0.035870922
31,409.4287008,8.290365472,47.59939378,"AG","Zurzach",321.74,18,0.896824126,0.247625528,0.065998987,0.092975418,0.063629222,0.041392322,3.362180464,3.183894042,3.457734346,2.880308851,3.731874681,3.67196611,2.850049274,37.71138681,62.28861319,0,25.30917044,-0.417991313,-0.141775159,0.411550924,0.308446382,0.280002694,15.43362082,0,78.78816693,5.778212249,6.9,0.44819434,0.101313875,0.042283062,0.046052362,0.046078213,0.034718612,3.447048199,3.799741732,3.036180397,2.927184084,3.954311748,3.848545707,3.335194963,52.35566948,47.64433052,0,26.94010036,-0.589684599,0.051876436,0.223669639,0.352865231,0.42346513,3.371741654,5.862068966,76.47378413,14.29240525,0.879238718,0.913355834,-11.1,-0.448629787,-0.146311652,-0.023715925,-0.046923056,-0.017551009,-0.00667371,0.084867735,0.61584769,0.485145689,0.176579597,-0.421553949,0.046875232,0.222437067,-14.64428267,14.64428267,0,-12.06187916,5.862068966,-2.314382805,8.514193003,1.630929917,-0.171693286,0.193651594,0.143462436,-0.187881285,0.044418849
32,387.297038,8.407187892,47.33271053,"AG","Litzibuech",576.74,24,0.91941086,0.21673755,0.088288937,0.085160661,0.114239201,0.065466947,3.431249979,3.506632063,3.34594168,2.85318645,3.853388727,3.731211219,3.155727825,53.9637654,46.0362346,0,25.21840429,-0.402311082,0.046656758,0.262605092,0.285375338,0.45201957,2.18520385,0.480763402,93.2209168,4.113115943,14.9,0.862540436,0.236764617,0.067530403,0.095020492,0.04880831,0.058762406,3.255280731,3.181989218,2.996491228,2.955139643,3.877934887,3.857655772,2.992757703,33.11510484,66.88489516,0,25.37349301,-0.690597615,0.017947441,0.289656978,0.319618283,0.390724739,6.463733962,0.175438596,89.51819848,3.84262896,0.43556554,0.910903272,-9.1,-0.056870425,0.020027067,-0.020758534,0.009859831,-0.065430891,-0.006704541,-0.175969248,-0.324642845,-0.162970122,0.126444554,-0.349450451,0.101953192,0.024546159,20.84866056,-20.84866056,0,4.278530112,-0.305324806,-3.702718323,-0.270486983,0.155088719,-0.288286533,-0.028709317,-0.061294831,0.027051886,0.034242945
33,325.9572543,9.465441531,47.33158546,"AI","Rüte",876.74,18,0.89060173,0.359774592,0.093055705,0.114535639,0.062689346,0.092356514,2.763633898,2.050991768,2.549437685,4.000053769,3.931816069,2.096062176,2.19895201,29.26650444,37.53240022,33.20109533,18.28487566,-0.534637648,-0.327828188,0.544831788,0.122934466,0.332233745,8.008612287,19.67080797,72.32057974,0,10.56666667,0.691380773,0.166784916,0.052667075,0.056041326,0.055582376,0.046366628,3.302238724,3.862700879,3.181137188,3.242205966,3.600218873,3.950720312,3.132507332,52.92870832,47.07129168,0,27.65506115,-0.575863615,-0.101103675,0.235433191,0.352553008,0.412013802,0.037397158,0.490391511,92.14337919,7.328832139,0.802391273,0.998809012,-7.433333333,-0.199220957,-0.192989676,-0.04038863,-0.058494312,-0.00710697,-0.045989886,0.538604826,1.811709111,0.933555322,1.854658136,0.631699502,-0.757847803,-0.331597196,9.53889146,23.66220388,-33.20109533,-7.971215129,-19.18041646,19.82279945,7.328832139,9.370185486,-0.041225967,0.226724513,0.079780056,-0.309398598,0.229618542
34,288.0875776,9.444696274,47.3402633,"AI","Rüte",1006.74,17,0.866315243,0.195264553,0.086878592,0.078271802,0.093857689,0.088506285,2.901681094,2.124451671,2.904877009,4.199981057,3.927848693,2.013162156,2.138709834,18.78885755,22.78185936,58.42928308,18.05407786,-0.593465508,-0.163957455,0.577099537,0.09100153,0.331898933,1.705847466,11.91703805,86.37711448,0,19.4,0.885539998,0.261841361,0.076089691,0.080647785,0.066284574,0.080101144,3.12452172,3.339437675,3.06557606,3.294428048,3.762423709,3.370512248,2.795025957,38.2730842,50.31271352,11.41420228,25.70005308,-0.57527269,-0.088819441,0.345599107,0.282022769,0.372378124,1.200296679,7.507365366,86.66373744,4.628600518,0.763440533,0.909170799,2.4,0.019224755,0.066576808,-0.010788901,0.002375982,-0.027573115,-0.008405141,0.222840626,1.214986005,0.656316123,1.357350091,0.160699051,-0.905553009,-0.165424985,27.53085416,19.48422664,-47.0150808,-0.505550787,-4.409672684,0.286622952,4.628600518,7.645975219,0.018192819,0.075138015,0.040479191,-0.23150043,0.191021239
35,611.9221267,9.444744528,47.2903443,"AI","Schwende",1046.74,26.5,0.931851174,0.268592912,0.098679162,0.095340925,0.106091373,0.094605188,3.071575087,2.608495158,2.803330691,2.854158575,3.490760026,2.759576956,2.411494621,29.92049503,62.25393653,7.825568435,21.74385169,-0.551554855,-0.290206328,0.389258295,0.203415402,0.407326303,3.160817056,1.972117094,82.93323744,2.379200546,10.75714286,0.777487408,0.157308025,0.063723876,0.065417718,0.052528019,0.073225891,3.289332614,3.512818451,3.070357938,3.061681287,3.727045543,3.804887478,2.86160949,71.55963278,25.78212813,2.658239088,25.47478503,-0.548485682,-0.075485442,0.263417396,0.315108347,0.421474256,0.65984239,2.325797285,94.98129965,2.033060673,0.69700026,0.912887854,-15.74285714,-0.154363767,-0.111284887,-0.034955286,-0.029923208,-0.053563354,-0.021379297,0.217757527,0.904323293,0.450114869,1.045310522,0.267027248,0.207522712,0.236285517,-36.4718084,41.63913775,-5.167329347,-2.500974666,0.353680191,12.04806221,-0.346139872,3.73093334,0.003069173,0.214720886,0.014147953,-0.125840899,0.111692946
37,242.6836853,9.447683184,47.29357477,"AI","Schwende",1036.74,21,0.868232092,0.234239767,0.100500896,0.101512937,0.096604601,0.103385151,2.783989537,2.044056443,2.275369968,2.936849933,3.546630976,2.087666271,2.336856321,49.46208389,37.50129113,13.03662498,16.48457507,-0.701785,-0.364897691,0.504425352,0.152620939,0.34295371,4.973011413,5.058154994,77.5069958,0,11.3,0.760959575,0.153808585,0.061317979,0.062005888,0.046893548,0.0750545,3.251198383,3.49981552,3.093572321,3.09221037,3.7287507,3.758031553,2.886024241,71.98173151,24.29673377,3.721534723,24.80783112,-0.538772461,-0.045160504,0.269359403,0.303929464,0.426711133,0.767833927,3.256116199,93.39925811,2.576791766,0.730967481,0.972888852,-9.7,-0.107272516,-0.080431182,-0.039182917,-0.039507048,-0.049711053,-0.028330651,0.467208846,1.455759077,0.54916792,1.670365282,0.818202353,0.155360437,0.182119724,-13.20455736,22.51964762,-9.315090259,-4.205177486,-1.802038796,15.8922623,2.576791766,8.323256054,0.163012539,0.319737187,0.083757423,-0.235065948,0.151308525
38,286.0031977,9.255519661,47.36976853,"AR","Herisau",796.74,26,0.92993411,0.232539351,0.085987863,0.094650671,0.08932085,0.073992069,3.118240277,3.05933018,2.889676678,2.960491424,3.606175814,3.607196347,2.823106596,52.61685051,46.06467967,1.318469825,27.39122581,-0.556605885,-0.275281106,0.303074774,0.328705157,0.368220069,2.018826187,0,94.0513767,3.929797109,12.15,0.840188505,0.175823775,0.07070318,0.08797416,0.056150122,0.067985259,3.434038137,3.25134506,3.001997038,3.036921242,3.633322004,3.909998045,2.939902971,62.3561101,37.6438899,0,25.41226474,-0.546870339,-0.111687552,0.282613231,0.331535948,0.385850821,6.345456571,0,88.06332037,5.591223059,0.688331521,0.686293149,-13.85,-0.089745605,-0.056715576,-0.015284683,-0.00667651,-0.033170728,-0.00600681,0.31579786,0.19201488,0.116796375,0.302801699,0.11232036,0.076429819,0.02714619,-8.420789763,9.739259588,-1.318469825,4.326630384,0,-5.988056335,1.661425951,-1.978961071,0.009735545,0.163593554,0.017630752,-0.020461543,0.002830791
