pag,time,precision,species_richness,phylogenetic_diversity,functional_diversity,funct_div_spec_leaf_area,funct_div_seed_mass,funct_div_height,temperature,nutrient,reaction,moisture,light,moving_tolerance,urbanization,cover_poaceae,cover_forb,cover_cyp_junc,csr_stress_tolerance,csr_disturbance_tolerance,csr_competitive_ability,design_weight,X,Y
3,2,420.5182671,19.5,0.185225037,0.085387252,0.096491199,0.084824243,0.074846313,3.602672913,2.819429843,3.462274296,2.605541298,3.530054428,3.231565199,2.492250419,63.89844816,24.50552381,11.59602803,0.333406945,0.17694761,0.489645445,1,2648147.73797298,1249279.18876517
5,2,576.1975385,27.75,0.265606852,0.086020865,0.085644469,0.093959494,0.078458634,3.516780944,2.379579415,3.606154828,2.351818623,3.906072968,2.750302594,2.565569778,25.43787647,67.06641981,7.495703718,0.40314552,0.202596667,0.394257813,1,2658070.60715295,1266172.27132656
24,2,532.0474111,24.28571429,0.253281322,0.087001976,0.088517438,0.087905512,0.084582977,3.270907521,3.159173525,3.378363156,2.737654372,3.773165492,3.391701174,2.874691551,33.27334215,66.72665785,0,0.340890652,0.291802123,0.367307225,1,2670290.51603263,1254374.29443429
31,2,409.4287008,18,0.247625528,0.065998987,0.092975418,0.063629222,0.041392322,3.362180464,3.183894042,3.457734346,2.880308851,3.731874681,3.67196611,2.850049274,37.71138681,62.28861319,0,0.411550924,0.308446382,0.280002694,1,2664055.59590496,1272426.01393308
32,2,387.297038,24,0.21673755,0.088288937,0.085160661,0.114239201,0.065466947,3.431249979,3.506632063,3.34594168,2.85318645,3.853388727,3.731211219,3.155727825,53.9637654,46.0362346,0,0.262605092,0.285375338,0.45201957,1,2673206.76268331,1242878.87259277
33,2,325.9572543,18,0.359774592,0.093055705,0.114535639,0.062689346,0.092356514,2.763633898,2.050991768,2.549437685,4.000053769,3.931816069,2.0960621760000002,2.19895201,29.26650444,37.53240022,33.20109533,0.544831788,0.122934466,0.332233745,1,2753182.80707657,1244280.65280417
34,2,288.0875776,17,0.195264553,0.086878592,0.078271802,0.093857689,0.088506285,2.901681094,2.124451671,2.904877009,4.199981057,3.927848693,2.013162156,2.138709834,18.78885755,22.78185936,58.42928308,0.577099537,0.09100153,0.331898933,1,2751590.59260141,1245204.84540628
35,2,611.9221267,26.5,0.268592912,0.098679162,0.095340925000000007,0.106091373,0.094605188,3.071575087,2.608495158,2.803330691,2.854158575,3.490760026,2.759576956,2.411494621,29.92049503,62.25393653,7.825568435,0.389258295,0.203415402,0.407326303,1,2751736.15377814,1239656.74559806
37,2,242.6836853,21,0.234239767,0.100500896,0.101512937,0.096604601,0.103385151,2.783989537,2.044056443,2.275369968,2.936849933,3.546630976,2.087666271,2.336856321,49.46208389,37.50129113,13.03662498,0.504425352,0.152620939,0.34295371,1,2751949.17834947,1240021.47821836
38,2,286.0031977,26,0.232539351,0.085987863,0.094650671,0.08932085,0.073992069,3.118240277,3.05933018,2.889676678,2.960491424,3.606175814,3.607196347,2.823106596,52.61685051,46.06467967,1.318469825,0.303074774,0.328705157,0.368220069,1,2737221.99280499,1248136.07297845
39,2,227.4307632,20.5,0.244929428,0.085907742,0.08719209,0.093359607,0.07717153,3.10362101,3.162387633,2.922070922,2.989602503,3.659216743,3.634512906,2.782874481,46.17178451,53.82821549,0,0.302599345,0.328592831,0.368807824,1,2737935.14036128,1250459.18481553
41,2,434.5366739,17,0.279441429,0.090998835,0.11558931,0.076455194,0.080952,1.747956871,2.399349015,3.275079286,2.972316431,3.974588011,2.128398457,1.620698472,5.018539087,77.08273005,17.89873086,0.518837457,0.101380367,0.379782176,1,2609237.18778515,1144103.32065403
43,2,856.0505847,11,0.198247212,0.077592627,0.104759247,0.058433217,0.069585418,2.85148338,2.740758069,2.921843043,3.836653629,3.851953417,2.432211183,2.469781537,8.826304688,31.2656177,59.90807762,0.458298216,0.208368451,0.333333333,1,2596551.60462157,1163988.19496985
44,2,2729.82277,45,0.281809606,0.094509269,0.106963452,0.095602487,0.082976064,2.33273313,2.490583663,3.441878672,2.788953851,3.827717936,2.591556213,2.182642425,14.1132762,67.23227007,18.65445373,0.401162654,0.158563925,0.440273421,1,2643323.90518408,1180267.67806948
45,2,741.788201,28.16666667,0.274949202,0.072832401,0.069960855,0.07356468,0.074999571,3.187880259,2.241669962,3.346081552,2.371335321,3.842154087,2.538395077,2.369830611,27.59751036,65.93431668,6.46817296,0.402476469,0.20618964,0.391333891,1,2582005.74181235,1220996.7875156
52,2,224.0269484,28,0.266610313,0.083544777,0.099011853,0.091244772,0.060377705,3.178179279,3.27165758,2.923380713,2.883968902,3.732316775,3.539490407,2.84240163,25.95820279,74.04179721,0,0.297419701,0.30073722,0.401843079,1,2614001.82881641,1235771.92228511
53,2,310.3243434,20,0.275454546,0.078316764,0.107010475,0.053834759,0.072586946,2.591296797,2.08379915,2.433016985,3.653260663,3.809652164,2.068404881,2.299295915,31.85844268,43.47919241,24.66236492,0.540962837,0.118265812,0.340771351,1,2644499.30657221,1189905.72240126
54,2,145.220791,10,0.192320283,0.075089059,0.080746384,0.069940089,0.074580704,1.997593886,2.71210333,2.798330484,2.911114979,3.514753343,3.162147051,1.873414912,62.6771925,37.3228075,0,0.329221467,0.151169673,0.519608859,1,2675470.32668761,1175901.52995544
